site number,recruitment,forestry,strtY,strtX,endY,endX,altitude (m),soil type,soil moisture,relief,aspect,forest type,fire type,estimated fire year
1,poor,Chitinsky,51.82801,113.16932,51.82904,113.17165,739,light loam,mesic,W  5°,W,Burned (total tree mortality) site with Calamagrostis as dominant vegetation /Гарь вейниковая,Crown and surface high-severity  2000,2000
2,sufficient,Chitinsky,51.82407,113.17407,51.82336,113.17673,751,sandy loam loamy,dry,flat on a hill,flat,Burned (total tree mortality) site with Carex as dominant vegetation /Гарь осоковая,Crown and surface high-severity  2000,2000
3,sufficient,Chitinsky,51.80869,113.16696,51.81003,113.16885,812,sandy loam,mesic,W  10°,W,Burned (total tree mortality) site,Crown fire in 2000  Surface high-severity fire in 2008  surface low-severity fire in 2017,2000 and 2008 and 2017
4,singular,Chitinsky,51.80652,113.16624,51.80747,113.16393,804,sandy loam,mesic,SW  7°,SW,Burned (total tree mortality) site,fire in 2000  did not burned in 2017,2000
5,sufficient,Chitinsky,51.79773,113.14449,51.79634,113.14275,806,light loam wet,mesic,W 8°  S SW 10°,W,Burned (total tree mortality) site with litter as dominant ground cover/Гарь мрт,Fire in 2000  surface low-severity fire in 2017,2000 and 2017
6,sufficient,Chitinsky,51.80075,113.13951,51.80154,113.137,781,light loam,mesic,W  3°,W,Burned (total tree mortality) site with grasses as dominant vegetation /Гарь ртр,Fires in 2000 and 2008  did not burn in 2017,2000 and 2008
7,poor,Chitinsky,51.80824,113.14183,51.80878,113.13911,718,light loam,dry,W  5°,W,Burned (total tree mortality) site/Гарь вейн,Fires in 2000  2008  and 2017,2000 and 2008 and 2017
8,sufficient,Beklemichevsky,52.0775,112.42139,52.07705,112.42417,1083,loam,mesic,SW 12°,SW,Burned (total tree mortality) site /Гарь ртр,Fire in 2000-2003?,2000 and 2003
9,poor to sufficient,Beklemichevsky,52.04379,112.49216,52.04276,112.49455,1034,sandy loam,dry,S-SW 12-15°,SW,Burned (total tree mortality) site /Гарь сухотравн.,Crown fire in 2007,2007
10,sufficient (see stand inventory),Ononsky Tsasycheiskoe,50.49187,114.89437,50.49226,114.89712,691,sandy loam,dry,less than 5°  plain,flat,Burned (total tree mortality) site /Гарь сухотравн.,Fire in 2000,2000
11,poor,Ononsky Tsasycheiskoe,50.4821,114.8744527778,50.48211,114.87723,688,sandy loam,dry,less than 5°  plain,flat,Burned (total tree mortality) site /Гарь вейн.,High-severity fire in 2000,2000
12,singular,Ononsky Tsasycheiskoe,50.48057,115.00641,50.47878,115.00647,680,sandy loam,mesic,less than 5°  plain,flat,Burned (total tree mortality) site /Гарь вейн.,High-severity fire in 2000,2000
13,sufficient,Duldurginskoe,50.76357,113.4734,50.76293,113.47085,893,medium loam,mesic,S  >10°,S,Burned (total tree mortality) site /Гарь ртр.,High-severity crown fire in 2007,2007
14,sufficient,Duldurginskoe Tantanaiskoe,50.69094,113.66161,50.68975,113.65961,885,medium loam,mesic,>20°  W (25°-30°)  E,na,Burned (total tree mortality) site /Гарь ,High-severity surface fire to crown fire in 2003,2003
15,sufficient,Duldurginskoe Tantanaiskoe,50.69936,113.67699,50.69954,113.67973,863,medium loam,mesic,SW  S-SE  >20°,na,Burned (total tree mortality) site /Гарь вейн-схтр.,Fire in 2003 and in 2015,2003 and 2015
16,abundant,Olenguiski,51.30713,113.59789,51.30758,113.60064,916,medium loam,mesic,S 25°,S,Burned (total tree mortality) site /Гарь ртр.,Fire in ~2003,2003
17,abundant,Olenguiski,51.30963,113.62407,51.3111,113.62257,886,light loam,mesic,SW 15-20°,SW,Burned (total tree mortality) site /Гарь вейн-ртр.,Fire in 2003,2003
18,sufficient,Karimskoe,51.42294,113.75581,51.42432,113.75398,780,loam,mesic,NW 5°,NW,Burned (total tree mortality) site /Гарь ртр.,Fire in 2003,2003
19,sufficient,Chitinskii,52.14943,113.55487,52.15085,113.55312,743,sandy loam,dry,plain,flat,Burned (total tree mortality) site /Гарь вейн.,Fires in 2000  and 2015,2000 and 2015
20,singular,Chitinskii,52.15602,113.57073,52.15466,113.57261,750,sandy loam,dry,plain,flat,Burned (total tree mortality) site /Гарь сухотр.,Surface fires in 2000 (01)  crown fire in 2015,2000012015
21,sufficient,Olenguiskoe,51.8032,113.78547,51.80202,113.78333,697,light loam,mesic,<5°,flat,Burned (total tree mortality) site /Гарь вейн.,Fire in 2003,2003
22,sufficient,Olenguiskoe,51.81608,113.77681,51.81635,113.77958,778, loam,mesic,SW-S  20-25°,SW,Burned (total tree mortality) site /Гарь вейн.-кипр.,Fire in 2007,2007
23,poor (see also stand inventory),Tataurovskoye,51.5596,112.8302,51.56086,112.83224,795,sandy loam,dry,SW  10-15°,SW,Burned (total tree mortality) site /Гарь ,Fires in 2000,2000
24,sufficient (see also stand inventory),Tataurovskoye,51.55526,112.81967,51.5537,112.81822,838,sandy loam,mesic,SW  >20°,SW,Burned (total tree mortality) site /Гарь,Fire in 2000,2000
25,sufficient,Yletovskoye,51.4453,112.29165,51.44704,112.29086,743,medium loam,mesic,S  5-10°,S,Burned (total tree mortality) site /Гарь рдд.,Fires in 2003,2003
26,sufficient,Ingodinskoe Cheremchovskoe,51.43754,112.27673,51.43898,112.27845,946,loam,mesic,SW  15°,SW,Burned (total tree mortality) site /Гарь вейн.-ртр,Fires in 2003,2003
27,sifficient,Ingodinsky,51.08725,112.09067,51.08893,112.09122,854,sandy loam,dry,S  5-7°,S,Burned (total tree mortality) site /Гарь вейн.-ртр,Crown fire in 2000,2000
28,abundunt (see also stand inventory),Ingodinsky,51.0898,112.09745,51.08969,112.10012,870,sandy loam,dry,S  <5°,S,Burned (total tree mortality) site /Гарь ртр.,Crown fire in 2000,2000
29,abundunt (see also stand inventory),Ingodinsky,51.09841,112.11642,51.09744,112.11882,837,sandy loam,dry,S  3°,S,Burned (total tree mortality) site /Гарь ртр.,Crown fire in 2000,2000
