,name,set,lon,lat,lonr_max,lonr_min,latr_max,latr_min,lonb_COP_max,lonb_COP_min,latb_COP_max,latb_COP_min,lonb_MOD_max,lonb_MOD_min,latb_MOD_max,latb_MOD_min
Burn2015 UP,TestBurn,2019.0,113.30764800310135,51.900156028568745,113.32589285647157,113.28125000147156,51.9241071417921,51.87946428679211,113.31398809538142,113.29910714538143,51.90624999881591,51.89136904881592,113.30833332334943,113.30416665634944,51.90416666218368,51.89999999518367
G10T1-0,G10T1-0,2018.0,112.10271296091378,51.090746987611055,112.12946428504137,112.08482143004136,51.111607141792284,51.06696428679229,112.111607142995,112.096726192995,51.09672618929228,51.08184523929229,112.10416665679064,112.09999998979065,51.091666662256465,51.08749999525646
G11T1-0,G11T1-0,2018.0,112.11422198452055,51.09731596894562,112.13839285646992,112.09375000146991,51.12053571322085,51.07589285822086,112.12053571442361,112.10565476442362,51.10565476072085,51.09077381072086,112.11666665678952,112.11249998978953,51.09999999558905,51.095833328589045
G12T1-0,G12T1-0,2018.0,112.81865799799562,51.552078975364566,112.84374999932805,112.79910714432805,51.57589285607789,51.5312500010779,112.82589285728396,112.81101190728397,51.5580357131017,51.54315476310171,112.8208333233931,112.81666665639311,51.55416666221503,51.549999995215025
G13T1-0,G13T1-0,2018.0,112.83023198135197,51.559985959902406,112.85267857075661,112.8080357157566,51.58482142750646,51.54017857250647,112.83779761918878,112.82291666918879,51.56696428453027,51.55208333453028,112.83333332339198,112.82916665639199,51.56249999554762,51.55833332854761
G3T1-0,G3T1-0,2018.0,113.16427102312446,51.8072599824518,113.18303571361423,113.13839285861422,51.825892856077836,51.781250001077844,113.17113095252363,113.15625000252363,51.813988094054025,51.799107144054034,113.16666665669545,113.16249998969546,51.80833332885893,51.80416666185892
G4T1-0,G4T1-0,2018.0,111.17956501431763,50.96640296280384,111.20089285646867,111.15625000146866,50.98660714179231,50.94196428679232,111.18601190489555,111.17113095489556,50.9747023797685,50.95982142976851,111.1833333235398,111.1791666565398,50.96666666226766,50.962499995267656
G5T1-0,G5T1-0,2018.0,110.71946701034904,51.027449034154415,110.74553571361088,110.70089285861087,51.0491071417923,51.004464286792306,110.72767857156013,110.71279762156014,51.0342261892923,51.019345239292306,110.72083332358123,110.71666665658124,51.029166662262064,51.02499999526206
G7T1-0,G7T1-0,2018.0,110.71238497272134,51.237257961183786,110.73660714218232,110.69196428718232,51.263392856077964,51.21875000107797,110.71875000013152,110.70386905013153,51.24553571310177,51.23065476310178,110.71249999024865,110.70833332324865,51.237499995576734,51.23333332857673
G8T1-0,G8T1-0,2018.0,110.69977800361812,51.224253019317985,110.71874999932515,110.67410714432515,51.245535713220825,51.20089285822083,110.7068452382267,110.69196428822671,51.230654760720824,51.21577381072083,110.69999999024976,110.69583332324977,51.22499999557785,51.22083332857785
G9T1-0,G9T1-0,2018.0,111.35216700844467,50.98075496032834,111.37053571361179,111.32589285861178,51.00446428464945,50.95982142964946,111.35863095251538,111.34375000251539,50.98958333214945,50.97470238214946,111.35416665685783,111.34999998985784,50.98333332893284,50.97916666193283
GROUP BOX2 TRANS1-6,G2T1-6,2019.0,113.15948998555541,51.83105897158384,113.18303571361423,113.13839285861422,51.852678570363544,51.80803571536355,113.16815476204742,113.15327381204743,51.837797617863544,51.82291666786355,113.16249999002916,113.15833332302917,51.83333332885669,51.82916666185668
Site07,Site07,2018.0,113.14175,51.80830556,113.16517857075706,113.12053571575706,51.834821427506405,51.79017857250641,113.1502976191902,113.1354166691902,51.816964284530215,51.802083334530224,113.14583332336399,113.141666656364,51.80833332885893,51.80416666185892
Site11,Site11,2018.0,114.882,50.49042,114.9062499993309,114.86160714433089,50.513392856078134,50.46875000107814,114.88839285729334,114.87351190729335,50.498511903578134,50.48363095357814,114.88333332320833,114.87916665620834,50.491666662310216,50.48749999531021
Site12,Site12,2018.0,115.00663999999999,50.47926,115.03124999933101,114.986607144331,50.504464284649565,50.45982142964957,115.01339285729391,114.99851190729392,50.486607141673375,50.47172619167338,115.00833332319714,115.00416665619714,50.48333332897763,50.47916666197762
Site16,Site16,2018.0,113.59772,51.30747,113.62053571361486,113.57589285861485,51.32589285607795,51.28125000107796,113.60565476204941,113.59077381204942,51.31398809405414,51.29910714405415,113.59999998998997,113.59583332298998,51.30833332890372,51.304166661903714
Site17,Site17,2018.0,113.62353,51.31007,113.64732142790058,113.60267857290057,51.33482142750652,51.29017857250653,113.63244047633525,113.61755952633526,51.31696428453033,51.30208333453034,113.62499998998773,113.62083332298774,51.312499995570015,51.30833332857001
Site20,Site20,2018.0,113.57068999999998,51.15607,113.59374999932908,113.54910714432907,51.17410714179227,51.12946428679228,113.57886904776358,113.56398809776358,51.16220237976846,51.14732142976847,113.57083332332591,113.56666665632592,51.15833332891716,51.15416666191715
Site33,Site33,2018.0,102.44425,51.87807,102.4687499993139,102.4241071443139,51.89732142750639,51.8526785725064,102.45089285723678,102.43601190723679,51.88541666548258,51.87053571548259,102.44583332432255,102.44166665732256,51.879166662185916,51.87499999518591
Site39,Site39,2018.0,110.24618999999998,51.39263,110.27232142789597,110.22767857289597,51.41517857036364,51.37053571536365,110.2544642858437,110.2395833358437,51.40029761786364,51.38541666786365,110.24999999029008,110.24583332329009,51.39583332889588,51.391666661895876
Site40,Site40,2018.0,109.20568,51.23488,109.22767857075172,109.18303571575171,51.254464284649394,51.2098214296494,109.21279761917229,109.1979166691723,51.242559522625584,51.22767857262559,109.20833332371673,109.20416665671674,51.237499995576734,51.23333332857673
Site43,Site43,2018.0,109.11646,51.20247,109.13839285646583,109.09375000146582,51.227678570363686,51.183035715363694,109.12351190488617,109.10863095488618,51.209821427387496,51.194940477387505,109.11666665705827,109.11249999005828,51.20416666224639,51.19999999524638
Site44,Site44,2018.0,109.03844,51.191520000000004,109.0580357136086,109.0133928586086,51.20982142750655,51.165178572506555,109.04613095250487,109.03125000250488,51.19791666548274,51.183035715482745,109.041666657065,109.037499990065,51.191666662247506,51.1874999952475
Site45,Site45,2018.0,109.00516999999999,51.17889,109.03124999932282,108.98660714432282,51.20089285607798,51.156250001077986,109.01339285726662,108.99851190726663,51.18601190357798,51.171130953577986,109.00833332373465,109.00416665673465,51.179166662248626,51.17499999524862
Site46,Site46,2018.0,108.94473,51.16418,108.96874999932277,108.92410714432276,51.18303571322084,51.13839285822085,108.95089285726634,108.93601190726635,51.17113095119703,51.15625000119704,108.94583332374025,108.94166665674025,51.166666662249746,51.16249999524974
Site48,Site48,2018.0,107.626,51.88002,107.6473214278924,107.60267857289239,51.90624999893496,51.86160714393497,107.63244047630796,107.61755952630797,51.88839285595877,51.87351190595878,107.62916665719153,107.62499999019154,51.88333332885221,51.8791666618522
Site53,Site53,2018.0,109.89463,52.12389,109.91517857075263,109.87053571575262,52.147321427506334,52.10267857250634,109.90327380965162,109.88839285965163,52.132440475006334,52.11755952500634,109.89583332365514,109.89166665665515,52.12499999549723,52.12083332849722
Site56,Site56,2018.0,110.02025,52.08768,110.0401785707528,109.9955357157528,52.11160714179206,52.066964286792064,110.02827380965219,110.0133928596522,52.093749998815866,52.078869048815875,110.02083332364394,110.01666665664395,52.09166666216688,52.08749999516687
Site58,Site58,2018.0,107.60446,52.16921,107.62946428503523,107.58482143003522,52.19196428464918,52.14732142964919,107.61160714297453,107.59672619297454,52.17708333214918,52.16220238214919,107.60833332386007,107.60416665686007,52.170833328826454,52.16666666182645
Site61,Site61,2018.0,107.65391000000001,52.171890000000005,107.67410714217812,107.62946428717811,52.19196428464918,52.14732142964919,107.66220238107,107.64732143107001,52.18005952262537,52.16517857262538,107.6541666571893,107.6499999901893,52.17499999549275,52.17083332849274
Site62,Site62,2018.0,107.70193,52.171240000000004,107.72767857074967,107.68303571574967,52.19196428464918,52.14732142964919,107.70982142868927,107.69494047868928,52.18005952262537,52.16517857262538,107.70416665718481,107.69999999018482,52.17499999549275,52.17083332849274
Site64,Site64,2018.0,108.33461000000001,51.91676,108.35267857075047,108.30803571575046,51.94196428464924,51.897321429649246,108.34077380964452,108.32589285964453,51.92410714167305,51.909226191673056,108.33749999046141,108.33333332346142,51.92083332884885,51.91666666184884
Site69,Site69,2018.0,101.62557,51.71518,101.64732142788421,101.6026785728842,51.73660714179214,51.69196428679215,101.63244047628068,101.61755952628069,51.72172618929214,51.70684523929215,101.62916665772904,101.62499999072905,51.716666662200474,51.71249999520047
Site72,Site72,2018.0,102.22508,51.76028,102.24553571359928,102.20089285859927,51.78124999893499,51.736607143935,102.23363095247389,102.2187500024739,51.76636904643499,51.751488096435,102.2291666576753,102.2249999906753,51.7624999955297,51.758333328529694
Site73,Site73,2018.0,102.26656,51.76323,102.29017857074223,102.24553571574222,51.78124999893499,51.736607143935,102.27529761914074,102.26041666914075,51.76934523691118,51.75446428691119,102.26666665767193,102.26249999067194,51.766666662195995,51.76249999519599
Site82,Site82,2018.0,102.62118000000001,51.71999,102.64732142788557,102.60267857288557,51.74553571322071,51.70089285822072,102.62946428580902,102.61458333580903,51.72767857024452,51.71279762024453,102.62499999097317,102.62083332397317,51.72083332886677,51.71666666186676
Site83,Site83,2018.0,102.61162,51.71324,102.63839285645696,102.59375000145695,51.73660714179214,51.69196428679215,102.62053571438041,102.60565476438042,51.72172618929214,51.70684523929215,102.61249999097429,102.60833332397429,51.716666662200474,51.71249999520047
Site90,Site90,2018.0,102.5954,51.71805,102.62053571359985,102.57589285859984,51.73660714179214,51.69196428679215,102.60267857152319,102.5877976215232,51.72470237976833,51.70982142976834,102.59583332430911,102.59166665730912,51.72083332886677,51.71666666186676
